log,seed,method,k,n_groups,ratio_to_k,ari,nmi,v_measure,purity,sig_per_variant,group_sig_entropy
loop_process,0,cf_ward@auto,,2,,,,,,1.0,0.6655167266279118
loop_process,0,ctx_kmeans@auto,,2,,,,,,1.0,0.6655167266279118
loop_process,0,trace2vec@auto,,3,,,,,,1.0,0.3060986113514965
loop_process,0,enabled@auto,,2,,,,,,1.0,0.6655167266279118
running_example,1,global,3.0,1,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.625,1.9179841445803598
running_example,1,kappa,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3330216438592036
running_example,1,kappa_supported,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3330216438592036
running_example,1,classical_variants,3.0,16,5.333333333333333,0.1799898958911044,0.3071697547838758,0.3071697547838758,0.76,1.625,0.4736263959437637
running_example,1,translucent_variants,3.0,26,8.666666666666666,0.2847734368079127,0.544071590414604,0.544071590414604,1.0,1.0,0.0
running_example,1,cf_kmeans@k,3.0,3,1.0,0.11936703582128042,0.18459516567197945,0.18459516567197945,0.5113333333333333,1.625,1.5847005628400022
running_example,1,cf_kmeans@auto,3.0,8,2.6666666666666665,0.32006608377995244,0.3814208075126879,0.3814208075126879,0.76,1.625,0.4742827206604927
running_example,1,cf_ward@k,3.0,3,1.0,0.28487395011867767,0.38227481776186506,0.382274817761865,0.6733333333333333,1.625,0.760118887879743
running_example,1,cf_ward@auto,3.0,8,2.6666666666666665,0.32006608377995244,0.3814208075126879,0.3814208075126879,0.76,1.625,0.4742827206604927
running_example,1,ctx_kmeans@k,3.0,3,1.0,0.2931161989067109,0.387350957121327,0.387350957121327,0.6826666666666666,1.625,0.7533271414896919
running_example,1,ctx_kmeans@auto,3.0,8,2.6666666666666665,0.482201619592801,0.527860733771404,0.527860733771404,0.8393333333333334,1.4444444444444444,0.45475251289006513
running_example,1,trace2vec@k,3.0,3,1.0,0.11225488800781638,0.17433874926697557,0.1743387492669756,0.53,1.1818181818181819,1.4865709600130856
running_example,1,trace2vec@auto,3.0,3,1.0,0.11225488800781638,0.17433874926697557,0.1743387492669756,0.53,1.1818181818181819,1.4865709600130856
running_example,1,enabled@k,3.0,3,1.0,0.63216495020779,0.735835942014374,0.7358359420143741,0.8273333333333334,1.0,0.3086663032053043
running_example,1,enabled@auto,3.0,4,1.3333333333333333,0.8695448721562256,0.9049309973630675,0.9049309973630676,1.0,1.0,0.0
running_example,1,attr_clean@k,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3330216438592036
running_example,1,attr_clean@auto,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3330216438592036
running_example,1,attr_noisy@k,3.0,3,1.0,0.07509295808555891,0.11758631165035602,0.11758631165035602,0.466,1.1304347826086956,1.6685525330852924
running_example,1,attr_noisy@auto,3.0,8,2.6666666666666665,0.26355757318061823,0.39723535407972665,0.3972353540797266,0.7913333333333333,1.04,0.7360006524758195
running_example,1,attr_all@k,3.0,3,1.0,0.6404245963082824,0.7401061658173135,0.7401061658173136,0.834,1.0833333333333333,0.6388227057281884
running_example,1,attr_all@auto,3.0,2,0.6666666666666666,0.571101573676681,0.733680436651211,0.733680436651211,0.6666666666666666,1.0833333333333333,0.9995324657888054
running_example,1,attr_oracle@k,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3330216438592036
running_example,1,attr_oracle@auto,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3330216438592036
running_example_big,1,global,3.0,1,0.3333333333333333,0.0,0.0,0.0,0.3335,1.625,1.9184186092691502
running_example_big,1,kappa,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3332895539319567
running_example_big,1,kappa_supported,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3332895539319567
running_example_big,1,classical_variants,3.0,16,5.333333333333333,0.16814669656866252,0.29381333156646416,0.29381333156646416,0.74825,1.625,0.4822254162589266
running_example_big,1,translucent_variants,3.0,26,8.666666666666666,0.283690757085376,0.5434021001259615,0.5434021001259614,1.0,1.0,0.0
running_example_big,1,cf_kmeans@k,3.0,3,1.0,0.17140752293732395,0.26820677893229894,0.26820677893229894,0.5795,1.625,1.0126724079791127
running_example_big,1,cf_kmeans@auto,3.0,8,2.6666666666666665,0.3010728422011984,0.36730847734501015,0.3673084773450101,0.74825,1.625,0.4825284177030896
running_example_big,1,cf_ward@k,3.0,3,1.0,0.26256935455730757,0.3663843452978086,0.36638434529780856,0.66075,1.625,0.768981696374877
running_example_big,1,cf_ward@auto,3.0,8,2.6666666666666665,0.3010728422011984,0.36730847734501015,0.3673084773450101,0.74825,1.625,0.4825284177030896
running_example_big,1,ctx_kmeans@k,3.0,3,1.0,0.26256935455730757,0.3663843452978086,0.36638434529780856,0.66075,1.625,0.768981696374877
running_example_big,1,ctx_kmeans@auto,3.0,8,2.6666666666666665,0.3010728422011984,0.36730847734501015,0.3673084773450101,0.74825,1.625,0.4825284177030896
running_example_big,1,trace2vec@k,3.0,3,1.0,0.12385631212531602,0.22406632116985747,0.22406632116985745,0.53825,1.0833333333333333,1.3804779706310086
running_example_big,1,trace2vec@auto,3.0,4,1.3333333333333333,0.06856626509423018,0.19225501773530426,0.19225501773530426,0.51625,1.2380952380952381,1.1518226856735105
running_example_big,1,enabled@k,3.0,3,1.0,0.6425328439261283,0.7410832244053114,0.7410832244053113,0.8355,1.4444444444444444,0.30514112020896206
running_example_big,1,enabled@auto,3.0,4,1.3333333333333333,0.8693800343754733,0.9048187459994965,0.9048187459994964,1.0,1.0,0.0
running_example_big,1,attr_clean@k,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3332895539319567
running_example_big,1,attr_clean@auto,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3332895539319567
running_example_big,1,attr_noisy@k,3.0,3,1.0,0.037818914432256844,0.07953277650136095,0.07953277650136095,0.422,1.2380952380952381,1.6751760965430196
running_example_big,1,attr_noisy@auto,3.0,8,2.6666666666666665,0.40060352251540865,0.4092301548403126,0.4092301548403126,0.7515,1.04,1.009114192466407
running_example_big,1,attr_all@k,3.0,3,1.0,0.7924256496545504,0.8234175398774207,0.8234175398774207,0.92075,1.0,0.5685855009525528
running_example_big,1,attr_all@auto,3.0,2,0.6666666666666666,0.5714897412565263,0.73376472327949,0.7337647232794899,0.66675,1.0833333333333333,0.999934330897935
running_example_big,1,attr_oracle@k,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3332895539319567
running_example_big,1,attr_oracle@auto,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3332895539319567
k_view_k2,1,global,2.0,1,0.5,0.0,0.0,0.0,0.5,1.1666666666666667,2.2912104702183287
k_view_k2,1,kappa,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.2912104702183287
k_view_k2,1,kappa_supported,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.2912104702183287
k_view_k2,1,classical_variants,2.0,48,24.0,0.0511782592468299,0.22148883705404915,0.22148883705404918,0.91375,1.1666666666666667,0.0983112693605982
k_view_k2,1,translucent_variants,2.0,56,28.0,0.07323647796054443,0.3209216114164979,0.32092161141649794,1.0,1.0,0.0
k_view_k2,1,cf_kmeans@k,2.0,2,1.0,0.00015620280076532404,0.0010160940947799607,0.0010160940947799607,0.51875,1.1666666666666667,2.278779437736758
k_view_k2,1,cf_kmeans@auto,2.0,8,4.0,0.07128977537822867,0.16730480616103757,0.16730480616103754,0.74875,1.1666666666666667,1.6355880554186277
k_view_k2,1,cf_ward@k,2.0,2,1.0,0.03760104459032504,0.14388982237033557,0.14388982237033557,0.5975,1.1666666666666667,1.854635728717271
k_view_k2,1,cf_ward@auto,2.0,8,4.0,0.25382794566237504,0.36931515322023195,0.36931515322023195,0.91375,1.1666666666666667,1.0321959667412823
k_view_k2,1,ctx_kmeans@k,2.0,2,1.0,0.22492231301688562,0.32583279777499696,0.32583279777499696,0.7375,1.1666666666666667,1.5290574931995315
k_view_k2,1,ctx_kmeans@auto,2.0,6,3.0,0.41001888500516487,0.4401396846356327,0.44013968463563263,0.91375,1.1666666666666667,0.3958046550445465
